airport,type of traffic,2010-10-01 00:00:00,2010-11-01 00:00:00,2010-12-01 00:00:00,2011-01-01 00:00:00,2011-02-01 00:00:00,2011-03-01 00:00:00,2011-04-01 00:00:00,2011-05-01 00:00:00,2011-06-01 00:00:00,2011-07-01 00:00:00,2011-08-01 00:00:00,2011-09-01 00:00:00,2011-10-01 00:00:00,2011-11-01 00:00:00,2011-12-01 00:00:00,2012-01-01 00:00:00,2012-02-01 00:00:00,2012-03-01 00:00:00,2012-04-01 00:00:00,2012-05-01 00:00:00,2012-06-01 00:00:00,2012-07-01 00:00:00,2012-08-01 00:00:00,2012-09-01 00:00:00,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,location,point,latitude,longitude,altitude
Alta,Non-scheduled passenger flights,265,2,0,0,0,142,0,0,462,22,8,0,0,38,0,0,14,0,0,34,190,4,115,0,0,166,0,0,222,1,0,39,360,11,96,0,0,0,298,8,0,0,65,233,430,614,481,520,294,0,0,31,116,3029,0,0,245,4,123,0,140,0,194,66,260,298,114,115,122,10,2,63,0,338,344,360,0,1041,0,0,3,5,129,0,0,262,430,87,0,77,147,0,0,5,0,0,0,28,0,317,395,0,180,0,0,88,0,0,0,185,0,0,0,0,4,134,330,328,336,54,"Alta, Troms og Finnmark, Norge","(70.04962755, 23.08254009804839, 0.0)",70.04962755,23.08254009804839,0.0
Alta,All commercial flights,30314,25873,22914,23369,23484,29224,28631,32310,36531,36285,35149,31918,30620,27991,24093,25061,26882,30792,28056,32323,30331,36483,34561,30757,30912,26338,22131,23701,26255,27932,30822,30246,36317,38353,35334,32486,29833,25083,22941,23105,23708,28904,31328,34135,40850,39183,36602,34702,33768,25858,25538,23040,24707,34915,29960,35226,41802,43498,37647,36552,34885,29920,26199,24244,29009,29803,29461,32303,39325,40708,37511,35141,32719,29239,25102,26683,27871,33550,28367,34052,38455,39352,37708,34237,34087,29722,24374,26628,28531,30779,33171,34956,38654,40744,39762,33843,33657,27466,23744,26564,28544,32329,29328,32037,35975,37459,35822,35081,32140,27251,24943,27644,27778,16487,4221,6229,13248,24120,20621,19571,"Alta, Troms og Finnmark, Norge","(70.04962755, 23.08254009804839, 0.0)",70.04962755,23.08254009804839,0.0
Alta,Freight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alta, Troms og Finnmark, Norge","(70.04962755, 23.08254009804839, 0.0)",70.04962755,23.08254009804839,0.0
Alta,"Helicopter, continental shelf",0,0,0,0,0,0,10,0,0,26,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,3,0,0,18,0,0,0,19,0,0,0,0,0,0,0,0,146,436,283,232,266,126,0,0,0,0,152,170,366,419,255,238,208,221,53,0,0,0,4,15,0,6,163,337,384,308,262,138,182,50,0,0,325,55,44,46,0,0,0,0,0,0,13,0,0,0,17,0,0,0,0,0,0,29,21,18,0,0,13,0,0,0,0,0,0,0,0,0,16,49,27,0,0,"Alta, Troms og Finnmark, Norge","(70.04962755, 23.08254009804839, 0.0)",70.04962755,23.08254009804839,0.0
Alta,"Helicopter, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,162,0,0,0,0,0,0,0,11,70,98,117,151,128,93,98,11,0,0,0,0,0,15,0,0,0,0,0,0,13,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alta, Troms og Finnmark, Norge","(70.04962755, 23.08254009804839, 0.0)",70.04962755,23.08254009804839,0.0
Alta,Other commercial flights,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,"Alta, Troms og Finnmark, Norge","(70.04962755, 23.08254009804839, 0.0)",70.04962755,23.08254009804839,0.0
Alta,Scheduled passenger flights,30049,25870,22914,23369,23484,29082,28621,32310,36069,36237,35141,31913,30620,27953,24093,25061,26868,30792,28056,32289,30141,36479,34445,30757,30912,26145,22131,23698,26033,27931,30796,30207,35957,38342,35219,32486,29833,25083,22643,23097,23708,28904,31263,33756,39984,38286,35889,33916,33348,25858,25538,23009,24591,31734,29790,34860,41138,43239,37274,36344,34362,29867,26005,24178,28749,29501,29332,32188,39186,40465,37074,34577,32260,28511,24527,26043,27810,32509,28367,33727,38397,39303,37518,34237,34087,29324,23944,26541,28531,30676,33024,34956,38654,40718,39762,33841,33657,27438,23744,26247,28120,32308,29130,32037,35975,37358,35822,34926,32140,27066,24943,27644,27778,16487,4217,6079,12869,23765,20285,19517,"Alta, Troms og Finnmark, Norge","(70.04962755, 23.08254009804839, 0.0)",70.04962755,23.08254009804839,0.0
Andenes Andøya,All commercial flights,5435,5606,5142,5263,4934,5172,4511,4976,4900,5807,5740,5208,5606,5279,4740,5132,5410,5333,4435,4883,5952,6937,6703,5278,5741,6236,5318,5926,5451,5703,5054,6251,7267,8924,8224,7205,5705,4969,5071,4974,5189,5258,5429,5264,7307,7819,6848,5222,5697,5210,4867,4989,4604,5667,4980,5393,6535,8068,5875,5452,5833,5412,5346,5451,5297,5469,5145,5374,6723,7743,6088,5500,5512,5337,5400,5706,5213,5896,6057,6458,7874,8968,7812,6310,6753,5698,5969,6442,6245,7026,6160,6162,7828,9946,6873,4407,5069,4488,4666,5264,4594,4781,5301,5216,6226,8650,6136,4838,4768,4586,4590,4839,4399,3580,3717,4048,5440,9719,7294,5728,"Andøya, Haugnesveien, Andenes, Merket, Andenes, Andøy, Nordland, 8480, Norge","(69.3073, 16.1312, 0.0)",69.3073,16.1312,0.0
Andenes Andøya,Scheduled passenger flights,5435,5606,5142,5263,4934,5172,4511,4976,4900,5807,5740,5208,5606,5279,4740,5132,5410,5333,4435,4883,5952,6919,6703,5278,5741,6236,5318,5926,5451,5703,5054,6251,7267,8924,8224,7205,5705,4969,5071,4974,5189,5258,5411,5169,7207,7819,6848,5222,5697,5210,4867,4989,4604,5667,4980,5393,6535,8068,5875,5445,5833,5412,5346,5451,5297,5469,5145,5374,6723,7743,6088,5500,5512,5337,5400,5706,5206,5832,6057,6458,7874,8968,7809,6310,6753,5698,5969,6442,6241,7026,6160,6162,7828,9946,6873,4407,5069,4488,4666,5264,4594,4781,5301,5216,6226,8650,6136,4838,4768,4586,4590,4839,4399,3486,3717,4048,5440,9719,7294,5728,"Andøya, Haugnesveien, Andenes, Merket, Andenes, Andøy, Nordland, 8480, Norge","(69.3073, 16.1312, 0.0)",69.3073,16.1312,0.0
Andenes Andøya,Freight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Andøya, Haugnesveien, Andenes, Merket, Andenes, Andøy, Nordland, 8480, Norge","(69.3073, 16.1312, 0.0)",69.3073,16.1312,0.0
